town,storey_range,floor_area_sqm,remaining_lease
87590,ANG MO KIO,0,44.0,55
87591,ANG MO KIO,1,45.0,64
87592,ANG MO KIO,0,45.0,64
87593,ANG MO KIO,0,45.0,63
87594,ANG MO KIO,0,44.0,56
87595,ANG MO KIO,1,44.0,58
87596,ANG MO KIO,0,73.0,54
87597,ANG MO KIO,1,67.0,56
87598,ANG MO KIO,1,67.0,56
87599,ANG MO KIO,0,68.0,59
87600,ANG MO KIO,1,73.0,55
87601,ANG MO KIO,1,73.0,55
87602,ANG MO KIO,2,70.0,90
87603,ANG MO KIO,0,68.0,59
87604,ANG MO KIO,0,66.0,59
87605,ANG MO KIO,0,68.0,59
87606,ANG MO KIO,0,73.0,54
87607,ANG MO KIO,0,67.0,56
87608,ANG MO KIO,0,82.0,55
87609,ANG MO KIO,2,70.0,90
87610,ANG MO KIO,0,67.0,55
87611,ANG MO KIO,1,68.0,59
87612,ANG MO KIO,1,73.0,55
87613,ANG MO KIO,0,67.0,55
87614,ANG MO KIO,0,68.0,58
87615,ANG MO KIO,0,67.0,55
87616,ANG MO KIO,1,82.0,58
87617,ANG MO KIO,1,67.0,55
87618,ANG MO KIO,2,70.0,90
87619,ANG MO KIO,1,82.0,55
87620,ANG MO KIO,1,68.0,58
87621,ANG MO KIO,0,73.0,55
87622,ANG MO KIO,1,68.0,58
87623,ANG MO KIO,0,68.0,58
87624,ANG MO KIO,2,70.0,90
87625,ANG MO KIO,0,73.0,54
87626,ANG MO KIO,1,73.0,53
87627,ANG MO KIO,2,70.0,90
87628,ANG MO KIO,0,68.0,58
87629,ANG MO KIO,1,75.0,58
87630,ANG MO KIO,0,68.0,58
87631,ANG MO KIO,0,68.0,58
87632,ANG MO KIO,1,68.0,59
87633,ANG MO KIO,0,75.0,57
87634,ANG MO KIO,2,81.0,62
87635,ANG MO KIO,0,68.0,58
87636,ANG MO KIO,1,82.0,58
87637,ANG MO KIO,0,68.0,59
87638,ANG MO KIO,1,67.0,57
87639,ANG MO KIO,1,82.0,57
87640,ANG MO KIO,0,68.0,58
87641,ANG MO KIO,0,82.0,59
87642,ANG MO KIO,0,68.0,59
87643,ANG MO KIO,1,67.0,57
87644,ANG MO KIO,0,67.0,57
87645,ANG MO KIO,0,67.0,57
87646,ANG MO KIO,0,67.0,62
87647,ANG MO KIO,1,68.0,58
87648,ANG MO KIO,0,68.0,58
87649,ANG MO KIO,0,67.0,57
87650,ANG MO KIO,0,89.0,57
87651,ANG MO KIO,0,68.0,58
87652,ANG MO KIO,0,75.0,57
87653,ANG MO KIO,1,67.0,57
87654,ANG MO KIO,1,74.0,57
87655,ANG MO KIO,0,68.0,58
87656,ANG MO KIO,1,67.0,57
87657,ANG MO KIO,0,67.0,62
87658,ANG MO KIO,0,67.0,57
87659,ANG MO KIO,1,68.0,57
87660,ANG MO KIO,2,67.0,57
87661,ANG MO KIO,0,68.0,57
87662,ANG MO KIO,1,67.0,58
87663,ANG MO KIO,1,67.0,57
87664,ANG MO KIO,0,82.0,58
87665,ANG MO KIO,1,82.0,57
87666,ANG MO KIO,1,68.0,58
87667,ANG MO KIO,1,67.0,58
87668,ANG MO KIO,0,67.0,61
87669,ANG MO KIO,0,67.0,57
87670,ANG MO KIO,1,68.0,57
87671,ANG MO KIO,2,74.0,57
87672,ANG MO KIO,1,67.0,57
87673,ANG MO KIO,0,67.0,61
87674,ANG MO KIO,2,75.0,57
87675,ANG MO KIO,1,67.0,57
87676,ANG MO KIO,1,89.0,57
87677,ANG MO KIO,0,68.0,57
87678,ANG MO KIO,0,67.0,57
87679,ANG MO KIO,2,68.0,57
87680,ANG MO KIO,0,74.0,57
87681,ANG MO KIO,0,68.0,58
87682,ANG MO KIO,0,68.0,57
87683,ANG MO KIO,1,67.0,56
87684,ANG MO KIO,0,67.0,62
87685,ANG MO KIO,1,74.0,57
87686,ANG MO KIO,1,67.0,57
87687,ANG MO KIO,1,68.0,57
87688,ANG MO KIO,1,67.0,57
87689,ANG MO KIO,1,68.0,58
87690,ANG MO KIO,1,67.0,57
87691,ANG MO KIO,1,68.0,57
87692,ANG MO KIO,1,68.0,57
87693,ANG MO KIO,0,68.0,57
87694,ANG MO KIO,0,68.0,58
87695,ANG MO KIO,1,67.0,57
87696,ANG MO KIO,1,67.0,57
87697,ANG MO KIO,0,75.0,57
87698,ANG MO KIO,1,75.0,57
87699,ANG MO KIO,0,67.0,56
87700,ANG MO KIO,0,68.0,58
87701,ANG MO KIO,1,75.0,57
87702,ANG MO KIO,1,74.0,57
87703,ANG MO KIO,0,68.0,57
87704,ANG MO KIO,1,67.0,56
87705,ANG MO KIO,1,67.0,57
87706,ANG MO KIO,1,68.0,58
87707,ANG MO KIO,0,68.0,57
87708,ANG MO KIO,1,82.0,57
87709,ANG MO KIO,1,82.0,57
87710,ANG MO KIO,0,67.0,57
87711,ANG MO KIO,0,68.0,58
87712,ANG MO KIO,1,82.0,58
87713,ANG MO KIO,0,82.0,56
87714,ANG MO KIO,1,67.0,57
87715,ANG MO KIO,0,68.0,57
87716,ANG MO KIO,0,67.0,61
87717,ANG MO KIO,0,73.0,56
87718,ANG MO KIO,1,73.0,56
87719,ANG MO KIO,1,73.0,55
87720,ANG MO KIO,1,67.0,57
87721,ANG MO KIO,0,67.0,55
87722,ANG MO KIO,0,67.0,56
87723,ANG MO KIO,1,67.0,55
87724,ANG MO KIO,1,67.0,55
87725,ANG MO KIO,1,88.0,57
87726,ANG MO KIO,0,73.0,56
87727,ANG MO KIO,1,67.0,55
87728,ANG MO KIO,0,73.0,56
87729,ANG MO KIO,0,67.0,56
87730,ANG MO KIO,0,73.0,57
87731,ANG MO KIO,1,73.0,57
87732,ANG MO KIO,0,67.0,55
87733,ANG MO KIO,0,73.0,56
87734,ANG MO KIO,1,73.0,56
